#Exp,t,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49
1,0.0,3.745401188473625,9.50714306409916,7.319939418114051,5.986584841970366,1.5601864044243652,1.5599452033620265,0.5808361216819946,8.661761457749352,6.011150117432088,7.080725777960454,0.20584494295802447,9.699098521619943,8.324426408004218,2.1233911067827616,1.8182496720710062,1.8340450985343382,3.0424224295953772,5.247564316322379,4.319450186421157,2.9122914019804194,6.118528947223795,1.3949386065204183,2.9214464853521815,3.663618432936917,4.56069984217036,7.851759613930136,1.9967378215835974,5.142344384136116,5.924145688620425,0.46450412719997725,6.075448519014383,1.7052412368729153,0.6505159298527952,9.488855372533333,9.656320330745594,8.08397348116461,3.0461376917337066,0.9767211400638387,6.842330265121569,4.4015249373960135,1.2203823484477883,4.951769101112702,0.34388521115218396,9.093204020787821,2.587799816000169,6.62522284353982,3.1171107608941098,5.200680211778108,5.4671027934327965,1.8485445552552704
1,0.07537688442211056,3.6894746323290537,9.406725589391016,7.450074725830608,5.790445248378874,1.546724949053245,1.581454969599327,0.5669755830178728,8.915681955315558,5.954641024952635,7.083623545083981,0.2053791858925381,9.719580917258682,8.261343025528417,2.202096042494931,1.8049354438009024,1.8893155174206249,2.8736198292495976,5.214681749350618,4.335798343914873,3.0360630257557557,6.313236918209539,1.3549341490633182,2.863217149979964,3.5758515968981,4.578231378536469,8.039390026079733,1.9599332648257777,5.037623753549818,5.841837621002159,0.46580773399036807,6.200606675732037,1.7020228707377612,0.6628876637912268,9.448594831965824,9.629994592901014,7.969779438827277,3.177657141138422,0.9818115729343175,6.9975254589937235,4.291747882480739,1.2303944221888572,4.890638759534248,0.3577742286705019,9.10061455604731,2.602551480997782,6.5131358382845335,3.114026443030457,5.397980320425457,5.327419535473178,1.8060897365321875
1,4.824120603015076,2.6038686518728245,2.768006079687939,6.222383550236143,0.8515472078911365,15.17769903080769,5.007849550785332,0.6283480781336077,4.633308186785869,2.166568049922044,2.274392462493358,3.2026933108305737,3.8097296105127456,2.9225117293033773,3.4282946798425327,1.3707690245762083,7.484079928352617,0.45708483061238786,5.649647054438109,2.6556481080840646,6.097009958193618,5.593713659774117,5.507079245896458,1.3981663609320878,1.7935689490901998,8.124585700897072,4.082443178357729,1.4221476366489414,6.219527526559684,8.857930643113777,2.9081891127723343,1.0949441215467497,6.294044855762876,1.8149477481913616,16.920232023443187,2.610444116063263,6.878834281810125,7.462311416120767,2.507386284303003,5.066907451429095,0.949205138894436,0.4167006559566686,1.8061284480884676,5.032943736305287,10.570399710693652,4.67343009286576,0.7510194850499746,4.353750733081157,8.074779746110604,2.4850579726880535,7.8796929626241115
1,4.974874371859296,2.54954539338438,2.830336196812749,6.053043310830697,0.8216943957244224,14.80311871518444,5.249692937409502,0.6293423639346493,4.644633231277831,2.1868805481604077,2.177823533214105,3.6256864529186412,3.566879087717451,2.9906583402335487,3.544109337608005,1.4329061899872142,7.3975452771692165,0.467529732462832,5.807490302406559,2.6139242893915244,5.558395688580132,5.510355214150855,5.836288295308757,1.407718738940505,1.8207319687383114,7.891159589152245,3.6478170660800586,1.445602179552038,6.095526688072469,10.017061420585232,3.060989658287166,1.036966402932984,6.430864062382674,1.8359550383083028,17.391261964349194,2.704157260559744,7.304612060103924,7.008956069337234,2.6007080124030546,4.865964424266886,0.9974386458444263,0.4116227480557587,1.7870169577924846,5.022017729747785,10.404731031125044,4.559300024366008,0.7603217164025912,4.3473041101146945,7.403980286078111,2.2802518603293933,8.124035500916513
1,5.50251256281407,2.375736841491623,3.051491079098015,5.88670347495725,0.7166352639294521,11.928666647539654,6.249936584539659,0.6069261856612288,5.021166081901739,2.3212103015913708,2.0088165263804365,5.284317798170992,2.768794453365856,3.4468253584221196,4.214800679398605,1.7539590444687172,7.185618834930703,0.5088756771559235,6.6087170200940255,2.5110110314512677,4.136570293496964,5.369721335137839,6.7836322257034025,1.4022656146450931,2.0033709759619223,7.062839195119742,2.437597747290729,1.4828983632065997,5.585531222831528,14.563802235737247,3.536141370323975,0.9213662804301278,6.517688321668251,1.921394837725128,17.58747391031346,3.2095697567552275,8.917009130403274,5.490922705375149,3.0745978463207386,4.306233181522105,1.199928291309735,0.4056118942961291,1.7657609310696447,4.869119663279982,9.25908087938746,4.276069412539728,0.857475464582972,4.3040899996741295,5.363300814470993,1.6132056850835295,8.287473140624352
1,6.407035175879397,2.1384729371788382,3.252996696875049,7.5869442808957,0.5451980148498563,6.365914359385663,8.002232940912089,0.5152085963572701,6.522986646215009,2.779391804110304,2.401663602036015,7.542750262264834,1.7071842013950391,5.149381278288289,6.26310099904933,2.914071594689549,7.219959815854312,0.5936250962898542,8.53202016947496,2.3631378753684915,3.1225350653479578,5.433876339072225,7.623205258758157,1.2119812983408567,2.6932747210781343,5.975597353196313,1.2749611086620265,1.389252100204129,4.810232248573524,18.170907253937262,4.179948367126095,0.8988103178856828,5.726558462823407,2.1193387120719187,12.995004500278338,4.648543637424981,10.69717800751442,3.574392724371436,4.89329540896554,3.6550757961639238,1.5920092160270047,0.4099537812288357,1.9550552286973202,4.438079510365086,6.189266928997506,4.5731133830908455,1.2656926001265671,4.349165879402989,3.2305142939592506,0.8888666842388814,6.580024440600992
1,9.195979899497488,1.6364871154833864,5.688146904980668,7.186835700619472,0.5716600371968961,3.265987493366716,6.644284975459495,0.38118845796925366,3.046464099443998,2.9755157797275724,7.362935509937139,3.6830493185029574,1.63223329969282,8.65504921662865,4.603433449761785,11.161436118245042,4.188067445117896,1.5591125960685375,6.512411357091807,7.125208167971766,3.04162459867957,4.445287278310975,9.905460342562295,0.9065344810932864,8.159827016488371,7.943569460725998,0.302797080180451,3.142799506014305,1.5623465889860921,4.371451808761166,6.4368285589854,0.9001524383286641,5.562485258543051,1.995106908227214,3.633841394959577,5.319466478050928,2.750573732313136,3.153245709607284,12.97102060472261,1.948877336985421,4.093197948660971,0.17567950410354313,7.04058834799679,2.442507945780936,5.2273484014062275,10.062307330335463,3.9310746728836707,4.911387121272226,3.858721980715523,0.9207275287241159,3.9656074577838174
1,11.381909547738694,2.5242886513799694,7.813972345491414,4.3475125418852,5.434579316007787,5.4220581535849925,10.992829218684417,0.29901192249787906,2.3039682662538814,3.3314539018273583,9.520074405941948,2.3983533162928947,3.3454159375928283,2.6191498423216557,5.488069247586127,4.189537067705546,3.9920586012838424,1.0976959402443882,4.002621872245298,17.39338693855715,1.7382297776967914,3.4337955818964954,9.47281816695101,1.126055941506414,11.878515437597814,6.27290884176332,0.4036710847631163,7.79559144985748,1.0778323560246394,4.873140829069177,4.195810531169741,2.242095586651434,7.030000149741054,2.0231374347378037,2.446658632442255,3.5356461772735566,1.0264223181547703,6.413342293544487,3.490821641120112,1.060634948911493,2.5119855110377927,0.25851897751060443,4.092646129276605,2.055442929298494,4.387903185916413,4.355014423652535,10.742539376210615,2.5040193306620084,6.7494292298916365,5.003875832964759,2.2474100373623838
1,11.758793969849247,2.8443224666471467,7.047077514330781,4.443659825504392,7.6560794991919865,6.168396962462353,12.721750444471095,0.28546483101798625,2.4943315349470816,3.601474099483299,9.34841086350565,2.411093909796946,3.811527215274577,2.182685451281491,6.134772259653243,3.400607843774864,4.38470308881306,0.9048137853660425,3.962130987162979,15.044667004570549,1.6346741397892028,3.0654249794234283,8.739594914534528,1.1808416443178023,10.725361910182677,4.984230986921867,0.4596919873918748,7.7290785399966415,1.1892127619153552,5.049360808202622,3.9304456655412774,2.6511065985601157,7.097262756194938,2.226534085732574,2.524845528393085,3.6716050282370722,1.0123074937150542,6.987316655210531,2.858474872750442,0.9896087634389229,2.2780232142964296,0.3468644389619744,3.1518951830723334,2.2925211394605163,3.7830764247320783,3.8287099492428482,11.92231040862312,2.076550556540653,7.180458039303103,6.66401792730511,1.8825738845139366
1,12.06030150753769,3.1622349094356696,6.284145609828706,4.614273491194599,9.353863832865581,6.80468204625852,14.111826678314308,0.27581775277763654,2.678327562651435,3.868190395991347,9.06609844195314,2.44251137944825,4.225275613354411,1.9274733209451076,6.6832948575944595,2.9403599487732106,4.779579724275367,0.7794415498494002,3.9547863798356477,12.530802006444475,1.5727433161119118,2.727435389500001,8.219065062087253,1.2334354623000083,9.574476329044405,3.9628193289999327,0.5102792384132537,7.337799446113885,1.3374609882746162,5.065449577437249,3.812096685679855,2.9651930923507086,7.047088180288357,2.4649263517976086,2.7176983484311052,3.9087051025153587,1.0294630350092524,7.324103469352986,2.5266446495858634,0.9730681757309221,2.192696280475677,0.4528466815996562,2.572080185460575,2.5245442846481576,3.343648102230319,3.606974040852193,12.61078652720171,1.8013020022567379,7.36844703839347,8.087797502161015,1.60789201351877
